OBJECTNUMMER;Naam;Modaliteit;Lijn;Lijn_select;RADIUS;Label;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
39;K. `s-Gravesandestraat;Tram;1 | 7 | 19;01|07|19;5;1 | 7 | 19 - K. `s-Gravesandestraat;POINT(4.91432 52.362487);POINT(52.362487 4.91432);491.432;52.362.487
40;Vijzelgracht /Weteringcircuit;Tram;1 | 7 | 19 | 24 | 52;01|07|19|24|52;5;1 | 7 | 19 | 24 | 52 - Vijzelgracht /Weteringcircuit;POINT(4.890943 52.359632);POINT(52.359632 4.890943);4.890.943;52.359.632
41;Rijksmuseum;Tram;1 | 7 | 19;01|07|19;5;1 | 7 | 19 - Rijksmuseum;POINT(4.887386 52.3608311);POINT(52.3608311 4.887386);4.887.386;523.608.311
42;Haarlemmerplein;Tram;_;_;5;_ - Haarlemmerplein;POINT(4.883588 52.385044);POINT(52.385044 4.883588);4.883.588;52.385.044
43;De Wittenkade;Tram;3;3;5;3 - De Wittenkade;POINT(4.877048 52.383185);POINT(52.383185 4.877048);4.877.048;52.383.185
44;Nassaukade;Tram;3;3;5;3 - Nassaukade;POINT(4.879189 52.38114);POINT(52.38114 4.879189);4.879.189;5.238.114
45;Alexanderplein;Tram;7 | 14 | 19;07|14|19;5;7 | 14 | 19 - Alexanderplein;POINT(4.918929 52.363606);POINT(52.363606 4.918929);4.918.929;52.363.606
46;Hoogte Kadijk;Tram;7;7;5;7 - Hoogte Kadijk;POINT(4.924559 52.366772);POINT(52.366772 4.924559);4.924.559;52.366.772
47;Eerste Leeghwaterstraat;Tram;7;7;5;7 - Eerste Leeghwaterstraat;POINT(4.929691 52.370258);POINT(52.370258 4.929691);4.929.691;52.370.258
48;Rietlandpark;Tram;7 | 26;07|26;5;7 | 26 - Rietlandpark;POINT(4.934361 52.372899);POINT(52.372899 4.934361);4.934.361;52.372.899
49;Willem de Zwijerlaan;Tram;13 | 19;13|19;5;13 | 19 - Willem de Zwijerlaan;POINT(4.863925 52.370537);POINT(52.370537 4.863925);4.863.925;52.370.537
51;De Pijp;Tram;3 | 12 | 24 | 52;03|12|24|52;5;3 | 12 | 24 | 52 - De Pijp;POINT(4.891107 52.35279);POINT(52.35279 4.891107);4.891.107;5.235.279
52;Wiltzanghlaan;Tram;19;19;5;19 - Wiltzanghlaan;POINT(4.851309 52.382574);POINT(52.382574 4.851309);4.851.309;52.382.574
53;Molenwerf;Tram;19;19;5;19 - Molenwerf;POINT(4.846416 52.385888);POINT(52.385888 4.846416);4.846.416;52.385.888
54;Scheldestraat;Tram;12;12;5;12 - Scheldestraat;POINT(4.891162 52.347345);POINT(52.347345 4.891162);4.891.162;52.347.345
55;Europaplein;Tram;4 | 52;04|52;5;4 | 52 - Europaplein;POINT(4.891987 52.340218);POINT(52.340218 4.891987);4.891.987;52.340.218
56;Waalstraat;Tram;4;4;5;4 - Waalstraat;POINT(4.900811 52.344529);POINT(52.344529 4.900811);4.900.811;52.344.529
57;Maasstraat;Tram;4;4;5;4 - Maasstraat;POINT(4.89659 52.342999);POINT(52.342999 4.89659);489.659;52.342.999
58;Dintelstraat;Tram;4;4;5;4 - Dintelstraat;POINT(4.89304 52.34191);POINT(52.34191 4.89304);489.304;5.234.191
59;Amstelveen Stadshart;Tram;5;5;5;5 - Amstelveen Stadshart;POINT(4.867279 52.301255);POINT(52.301255 4.867279);4.867.279;52.301.255
60;Marco Polostraat;Tram;13;13;5;13 - Marco Polostraat;POINT(4.85536 52.37092);POINT(52.37092 4.85536);485.536;5.237.092
61;Jan van Galenstraat;Tram;19;19;5;19 - Jan van Galenstraat;POINT(4.85856 52.37469);POINT(52.37469 4.85856);485.856;5.237.469
62;Rozengracht / Marnixstraat;Tram;5 | 13 | 17 | 19;05|13|17|19;5;5 | 13 | 17 | 19 - Rozengracht / Marnixstraat;POINT(4.875884 52.37218);POINT(52.37218 4.875884);4.875.884;5.237.218
63;Roelof Hartplein;Tram;3 | 5 | 12 | 24;03|05|12|24;5;3 | 5 | 12 | 24 - Roelof Hartplein;POINT(4.882355 52.352858);POINT(52.352858 4.882355);4.882.355;52.352.858
64;Bos en Lommerweg;Tram;19;19;5;19 - Bos en Lommerweg;POINT(4.854869 52.380563);POINT(52.380563 4.854869);4.854.869;52.380.563
65;Maasstraat;Tram;12;12;5;12 - Maasstraat;POINT(4.895126 52.346939);POINT(52.346939 4.895126);4.895.126;52.346.939
